record_id,match_id,bout_cluster_id,clip_name,label,human_confidence,difficulty,event_label,contact,duplicate_key,canonical_record,bookkeeping_flag,analysis_inclusion,provenance_role
A0001,624-501,624-501,624-501_clip001.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0002,624-501,624-501,624-501_clip002.mp4,True Positive,High,Easy,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0003,624-501,624-501,624-501_clip003.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0004,624-501,624-501,624-501_clip004.mp4,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0005,624-501,624-501,624-501_clip005.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0006,624-502,624-502,clip_001.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0007,624-502,624-502,clip_002.mp4,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0008,624-502,624-502,clip_003.mp4,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0009,624-502,624-502,clip_004.mp4,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0010,624-502,624-502,clip_005.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0011,624-502,624-502,clip_006.mp4,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0012,624-503,624-503,clip_001.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0013,624-503,624-503,clip_002-13.00.mp4,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0014,624-503,624-503,clip_003-26.00.mp4,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0015,624-505,624-505,clip_001.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0016,624-505,624-505,clip_002.mp4,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0017,624-506,624-506,clip_001.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,true,true,exact_duplicate_match_clip_key,include_candidate_audit,human_candidate_validation_and_context_annotation
A0019,624-506,624-506,clip_002.mp4,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0020,624-506,624-506,clip_003.mp4,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0021,624-506,624-506,clip_004.mp4,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0022,624-507,624-507,clip_001.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0023,624-507,624-507,clip_002.mp4,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0024,624-507,624-507,clip_003.mp4,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0025,624-507,624-507,clip_004.mp4,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0026,624-508,624-508,clip_001.mp4,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0027,624-509,624-509,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0028,624-509,624-509,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0029,624-509,624-509,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0030,624-509,624-509,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0031,624-509,624-509,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0032,624-509,624-509,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0033,624-510,624-510,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0034,624-510,624-510,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0035,624-510,624-510,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0036,624-510,624-510,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0037,624-511,624-511,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0038,624-511,624-511,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0039,624-511,624-511,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0040,624-511,624-511,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0041,624-511,624-511,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0042,624-511,624-511,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0043,624-511,624-511,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0044,624-512,624-512,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0045,624-512,624-512,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0046,624-512,624-512,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0047,624-512,624-512,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0048,624-512,624-512,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0049,624-512,624-512,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0050,624-512,624-512,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0051,624-512,624-512,clip_008.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0052,624-512,624-512,clip_009.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0053,624-512,624-512,clip_010.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0054,624-513,624-513,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0055,624-513,624-513,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0056,624-513,624-513,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0057,624-513,624-513,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0058,624-513,624-513,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0059,624-513,624-513,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0060,624-513,624-513,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0061,624-513,624-513,clip_008.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0062,624-514,624-514,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0063,624-514,624-514,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0064,624-514,624-514,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0065,624-514,624-514,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0066,624-514,624-514,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0067,624-514,624-514,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0068,624-514,624-514,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0069,624-515,624-515,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0070,624-515,624-515,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
