field,value,n,tp_labelled,fp_labelled,candidate_confirmation_rate,interpretation
visibility,good,171,171,0,1.0,"descriptive only; annotation fields are structurally coupled"
visibility,moderate,152,152,0,1.0,"descriptive only; annotation fields are structurally coupled"
visibility,partial_occlusion,222,126,96,0.5675675675675675,"descriptive only; annotation fields are structurally coupled"
difficulty,Easy,171,171,0,1.0,"descriptive only; annotation fields are structurally coupled"
difficulty,Medium,152,152,0,1.0,"descriptive only; annotation fields are structurally coupled"
difficulty,Hard,222,126,96,0.5675675675675675,"descriptive only; annotation fields are structurally coupled"
human_confidence,High,293,293,0,1.0,"human confidence, not model uncertainty"
human_confidence,Medium,252,156,96,0.6190476190476191,"human confidence, not model uncertainty"
event_label,turning_head_kick,292,292,0,1.0,"descriptive only; source annotation structure"
event_label,non_turning_head_kick,157,157,0,1.0,"descriptive only; source annotation structure"
event_label,uncertain,96,0,96,0.0,"descriptive only; source annotation structure"
contact,clear_contact,299,299,0,1.0,"descriptive only; source annotation structure"
contact,light_contact,150,150,0,1.0,"descriptive only; source annotation structure"
contact,uncertain,96,0,96,0.0,"descriptive only; source annotation structure"
